INFO 2024-09-25 15:13:15,300 cli 1 140332733942568 Starting server at tcp:port=8000:interface=0.0.0.0
INFO 2024-09-25 15:13:15,301 server 1 140332733942568 HTTP/2 support enabled
INFO 2024-09-25 15:13:15,301 server 1 140332733942568 Configuring endpoint tcp:port=8000:interface=0.0.0.0
INFO 2024-09-25 15:13:15,301 server 1 140332733942568 Listening on TCP address 0.0.0.0:8000
DEBUG 2024-09-25 15:13:38,521 selector_events 13 140133959031592 Using selector: EpollSelector
DEBUG 2024-09-25 15:13:43,132 http_protocol 1 140332733942568 HTTP b'GET' request for ['172.18.0.6', 41654]
DEBUG 2024-09-25 15:13:43,132 http_protocol 1 140332733942568 HTTP b'GET' request for ['172.18.0.6', 41666]
DEBUG 2024-09-25 15:13:43,156 http_protocol 1 140332733942568 HTTP 401 response started for ['172.18.0.6', 41654]
DEBUG 2024-09-25 15:13:43,157 http_protocol 1 140332733942568 HTTP close for ['172.18.0.6', 41654]
DEBUG 2024-09-25 15:13:43,157 http_protocol 1 140332733942568 HTTP response complete for ['172.18.0.6', 41654]
DEBUG 2024-09-25 15:13:43,157 http_protocol 1 140332733942568 HTTP 401 response started for ['172.18.0.6', 41666]
DEBUG 2024-09-25 15:13:43,157 http_protocol 1 140332733942568 HTTP close for ['172.18.0.6', 41666]
DEBUG 2024-09-25 15:13:43,158 http_protocol 1 140332733942568 HTTP response complete for ['172.18.0.6', 41666]
DEBUG 2024-09-25 15:13:45,403 http_protocol 1 140332733942568 HTTP b'POST' request for ['172.18.0.6', 41668]
DEBUG 2024-09-25 15:13:45,598 http_protocol 1 140332733942568 HTTP 201 response started for ['172.18.0.6', 41668]
DEBUG 2024-09-25 15:13:45,598 http_protocol 1 140332733942568 HTTP close for ['172.18.0.6', 41668]
DEBUG 2024-09-25 15:13:45,598 http_protocol 1 140332733942568 HTTP response complete for ['172.18.0.6', 41668]
DEBUG 2024-09-25 15:13:46,750 http_protocol 1 140332733942568 HTTP b'POST' request for ['172.18.0.6', 37886]
DEBUG 2024-09-25 15:13:46,951 http_protocol 1 140332733942568 HTTP 200 response started for ['172.18.0.6', 37886]
DEBUG 2024-09-25 15:13:46,952 http_protocol 1 140332733942568 HTTP close for ['172.18.0.6', 37886]
DEBUG 2024-09-25 15:13:46,952 http_protocol 1 140332733942568 HTTP response complete for ['172.18.0.6', 37886]
DEBUG 2024-09-25 15:13:46,956 http_protocol 1 140332733942568 HTTP b'GET' request for ['172.18.0.6', 37890]
DEBUG 2024-09-25 15:13:46,979 http_protocol 1 140332733942568 HTTP 200 response started for ['172.18.0.6', 37890]
DEBUG 2024-09-25 15:13:46,979 http_protocol 1 140332733942568 HTTP close for ['172.18.0.6', 37890]
DEBUG 2024-09-25 15:13:46,979 http_protocol 1 140332733942568 HTTP response complete for ['172.18.0.6', 37890]
DEBUG 2024-09-25 15:13:46,990 http_protocol 1 140332733942568 HTTP b'GET' request for ['172.18.0.6', 37894]
DEBUG 2024-09-25 15:13:46,995 http_protocol 1 140332733942568 HTTP 200 response started for ['172.18.0.6', 37894]
DEBUG 2024-09-25 15:13:46,995 http_protocol 1 140332733942568 HTTP close for ['172.18.0.6', 37894]
DEBUG 2024-09-25 15:13:46,995 http_protocol 1 140332733942568 HTTP response complete for ['172.18.0.6', 37894]
DEBUG 2024-09-25 15:13:46,999 http_protocol 1 140332733942568 Upgraded connection ['172.18.0.6', 37898] to WebSocket
DEBUG 2024-09-25 15:13:47,028 ws_protocol 1 140332733942568 WebSocket ['172.18.0.6', 37898] open and established
DEBUG 2024-09-25 15:13:47,028 ws_protocol 1 140332733942568 WebSocket ['172.18.0.6', 37898] accepted by application
DEBUG 2024-09-25 15:13:52,103 http_protocol 1 140332733942568 HTTP b'GET' request for ['172.18.0.6', 37906]
DEBUG 2024-09-25 15:13:52,105 http_protocol 1 140332733942568 HTTP 401 response started for ['172.18.0.6', 37906]
DEBUG 2024-09-25 15:13:52,105 http_protocol 1 140332733942568 HTTP close for ['172.18.0.6', 37906]
DEBUG 2024-09-25 15:13:52,106 http_protocol 1 140332733942568 HTTP response complete for ['172.18.0.6', 37906]
DEBUG 2024-09-25 15:13:52,126 http_protocol 1 140332733942568 HTTP b'GET' request for ['172.18.0.6', 37912]
DEBUG 2024-09-25 15:13:52,128 http_protocol 1 140332733942568 HTTP 401 response started for ['172.18.0.6', 37912]
DEBUG 2024-09-25 15:13:52,128 http_protocol 1 140332733942568 HTTP close for ['172.18.0.6', 37912]
DEBUG 2024-09-25 15:13:52,128 http_protocol 1 140332733942568 HTTP response complete for ['172.18.0.6', 37912]
DEBUG 2024-09-25 15:13:55,689 http_protocol 1 140332733942568 HTTP b'POST' request for ['172.18.0.6', 37926]
DEBUG 2024-09-25 15:13:55,892 http_protocol 1 140332733942568 HTTP 201 response started for ['172.18.0.6', 37926]
DEBUG 2024-09-25 15:13:55,892 http_protocol 1 140332733942568 HTTP close for ['172.18.0.6', 37926]
