DEBUG 2024-10-07 16:00:15,735 matchmaking Matchmaking init...
INFO 2024-10-07 16:00:15,736 cli Starting server at tcp:port=8000:interface=0.0.0.0
INFO 2024-10-07 16:00:15,736 server HTTP/2 support enabled
INFO 2024-10-07 16:00:15,736 server Configuring endpoint tcp:port=8000:interface=0.0.0.0
INFO 2024-10-07 16:00:15,736 server Listening on TCP address 0.0.0.0:8000
DEBUG 2024-10-07 16:00:20,021 http_protocol HTTP b'GET' request for ['172.19.0.4', 54962]
DEBUG 2024-10-07 16:00:20,023 apps starting matchmaking...
DEBUG 2024-10-07 16:00:20,023 thread Starting matchmaking service...
DEBUG 2024-10-07 16:00:20,024 selector_events Using selector: EpollSelector
DEBUG 2024-10-07 16:00:20,024 thread Initializing matchmaking thread...
DEBUG 2024-10-07 16:00:20,025 thread Starting matchmaking thread...
DEBUG 2024-10-07 16:00:20,026 matchmaking matchmaking loop started
DEBUG 2024-10-07 16:00:20,027 matchmaking Matchmaking loop is running...
DEBUG 2024-10-07 16:00:20,072 decorators Auth1
DEBUG 2024-10-07 16:00:20,072 _config load_ssl_context verify=True cert=None trust_env=True http2=False
DEBUG 2024-10-07 16:00:20,073 _config load_verify_locations cafile='/usr/local/lib/python3.9/site-packages/certifi/cacert.pem'
DEBUG 2024-10-07 16:00:20,079 decorators Auth2
DEBUG 2024-10-07 16:00:20,081 _trace connect_tcp.started host='authentication' port=8000 local_address=None timeout=5.0 socket_options=None
DEBUG 2024-10-07 16:00:20,082 _trace connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x7ff7b3c83790>
DEBUG 2024-10-07 16:00:20,082 _trace send_request_headers.started request=<Request [b'POST']>
DEBUG 2024-10-07 16:00:20,082 _trace send_request_headers.complete
DEBUG 2024-10-07 16:00:20,082 _trace send_request_body.started request=<Request [b'POST']>
DEBUG 2024-10-07 16:00:20,082 _trace send_request_body.complete
DEBUG 2024-10-07 16:00:20,082 _trace receive_response_headers.started request=<Request [b'POST']>
